parameter,P_S_range,relative_sensitivity,min_P_S,max_P_S
guidance,0.2654048401524203,0.6984337898747902,0.11220644188169436,0.37761128203411465
wind,0.15166019178131485,0.3991057678455654,0.2269099326701977,0.37857012445151256
ad_density,0.01402640652347803,0.03691159611441587,0.3765880971810281,0.3906145037045061
range,0.0030315829984054465,0.007977849995803806,0.3758781518978325,0.37890973489623797
altitude,0.0020017183605106625,0.0052676798960806905,0.3757856596541954,0.3777873780147061
fpv_count,0.0011191704960184512,0.0029451855158380293,0.37633199032837855,0.377451160824397
